item,rank,gender,isIdentity,hasref,refitem,exurl,wmurl,wmproj
Q100146374,NormalRank,Q6581097,true,false,,,,
Q104904363,NormalRank,Q6581097,true,false,,,,
Q104914585,NormalRank,Q6581097,true,false,,,,
Q104918214,NormalRank,Q6581097,true,false,,,,
Q106485453,NormalRank,Q6581072,true,false,,,,
Q114451196,,,,false,,,,
Q114451197,,,,false,,,,
Q114451199,,,,false,,,,
Q114451200,,,,false,,,,
Q114451201,,,,false,,,,
Q114451202,,,,false,,,,
Q114451204,,,,false,,,,
Q114451205,,,,false,,,,
Q114451206,,,,false,,,,
Q114451208,,,,false,,,,
Q114451210,,,,false,,,,
Q114451211,,,,false,,,,
Q114451212,,,,false,,,,
Q114451214,,,,false,,,,
Q114451216,,,,false,,,,
Q114451217,,,,false,,,,
Q114451810,NormalRank,Q6581097,true,false,,,,
Q114451821,NormalRank,Q6581097,true,false,,,,
Q114451969,NormalRank,Q6581097,true,false,,,,
Q114451981,NormalRank,Q6581097,true,false,,,,
Q16139501,NormalRank,Q6581072,true,false,,,,
Q25999464,NormalRank,Q6581097,true,false,,,,
Q354684,NormalRank,Q6581097,true,false,,,,
Q360138,NormalRank,Q6581097,true,false,,,,
Q470024,NormalRank,Q6581097,true,false,,,,
Q4803512,NormalRank,Q6581097,true,false,,,,
Q5299547,NormalRank,Q6581097,true,false,,,,
Q5938374,NormalRank,Q6581097,true,false,,,,
Q6406233,NormalRank,Q6581097,true,false,,,,
Q7180477,NormalRank,Q6581097,true,false,,,,
Q7408584,NormalRank,Q6581097,true,false,,,,
Q7559348,NormalRank,Q6581097,true,false,,,,
Q986768,NormalRank,Q6581097,true,false,,,,
Q57444,NormalRank,Q6581097,true,true,false,false,false,true
Q57826,NormalRank,Q6581097,true,false,,,,
Q58323,NormalRank,Q6581097,true,false,,,,
