@@,item,itemlabel,position,positionlabel,enddate,psid
---,Q104904363,Bounthong Chitmany,Q7925053,Vice President of Laos,,Q104904363-E796FA01-3651-4DA7-B996-21AC61EA5CFE
---,Q104904363,Bounthong Chitmany,Q105320551,Deputy Prime Minister of Laos,,Q104904363-15B0F5BC-4A56-42AF-B44E-2F944549B105
---,Q16139501,Pany Yathotou,Q7925053,Vice President of Laos,,Q16139501-B01A85AB-F93C-4733-A722-4064208B69DE
