positionlabel,position
Deputy Prime Minister of Laos,Q105320551
Governor of the Bank of the Lao PDR,Q114450829
Minister and Head of Prime Minister's Office,Q114450897
Minister of Agriculture and Forestry,Q113947527
Minister of Education and Sports,Q114450898
Minister of Energy and Mines,Q114450900
Minister of Finance,Q113947578
Minister of Health,Q113947529
Minister of Home Affairs,Q114450902
Minister of Industry and Commerce,Q113947545
"Minister of Information, Culture and Tourism",Q114450903
Minister of Justice,Q113947582
Minister of Labour and Social Welfare,Q114450904
Minister of National Defence,Q113318650
Minister of Natural Resources and Environment,Q113947585
Minister of Planning and Investment,Q114450905
Minister of Public Security,Q113947546
Minister of Public Works and Transport,Q114450518
Minister of Technology and Telecommunications,Q114450907
