who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
43069127,Q7925053,Vice President of Laos,2021-03-22,,Q7180477,Phankham Viphavanh,,,0
43069127,Q7241345,President of the National Assembly,2010-12-23,2021-03-22,Q57826,Thongsing Thammavong,Xaysomphone Phomvihane,Xaysomphone Phomvihane,1
43069127,National Assembly of Laos,President of the National Assembly,2010-12-23,2021-03-22,Q57826,Thongsing Thammavong,Xaysomphone Phomvihane,Xaysomphone Phomvihane,2
