who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
28699558,Q105320551,Deputy Prime Minister of Laos,2016-04-20,2021-03-22,,,,,0
28699558,Ministry of Finance (Laos),Minister of Finance,2016-04-20,2021-03-22,Lien Thikeo,Lien Thikeo,Bounchom Oubonpaseuth,Bounchom Oubonpaseuth,1
28699558,,,2007-07-03,2011-06-15,Chansy Phosikham,Chansy Phosikham,Phouphet Khamphounvong,Phouphet Khamphounvong,2
28699558,Ministry of Planning and Investment (Laos),Minister of Planning and Investment,2012,2016-04-20,Soulivong Daravong,Soulivong Daravong,Souphanh Keomisay,Souphanh Keomisay,3
