who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
66436611,Q7241345,President of the National Assembly,2021-03-22,,Q16139501,Pany Yathotou,,,0
66436611,National Assembly of Laos,President of the National Assembly,2021-03-22,,Q16139501,Pany Yathotou,,,1
66436611,Lao Front for National Construction,Chairman of the Central Committee of the Lao Front for National Construction,2016,2021-03-15,Phandoungchit Vongsa,Phandoungchit Vongsa,Sinlavong Khoutphaitoun,Sinlavong Khoutphaitoun,2
66436611,Ministry of Finance (Laos),Minister of Finance,1995,1998-02-24,Khamsay Souphanouvong,Khamsay Souphanouvong,Khamphoui Keoboualapha,Khamphoui Keoboualapha,3
