who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
28699687,Q778651,Prime Minister of Laos,2021-03-22,2022-12-30,,Thongloun Sisoulith,Q104914585,Sonexay Siphandone,0
28699687,Q7925053,Vice President of Laos,2016-04-20,2021-03-22,,Bounnhang Vorachit,Q16139501,Pany Yathotou & Bounthong Chitmany,1
28699687,Q7925053,Vice President of Laos,2016-04-20,2021-03-22,,Bounnhang Vorachit,Q104904363,Pany Yathotou & Bounthong Chitmany,2
28699687,Secretariat of the Lao People's Revolutionary Party,Standing Member of the LPRP Secretariat,2016-01-21,2021-01-15,,Bounnhang Vorachit,Q104904363,Bounthong Chitmany,3
