who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
66433482,Q7925053,Vice President of Laos,2021-03-22,,Q7180477,Phankham Viphavanh,,,0
66433482,Secretariat of the Lao People's Revolutionary Party,Standing Member of the LPRP Secretariat,2021-01-15,,Q7180477,Phankham Viphavanh,,,1
66433482,Central Committee of the Lao People's Revolutionary Party,Chairman of the LPRP Central Committee Inspection Commission,2016-01-22,2021-01-15,,,,Khamphanh Phommathat,2
66433482,,,2011-03-21,2016-01-22,Q4803512,Asang Laoly,,,3
66433482,Central Committee of the Lao People's Revolutionary Party,Head of the LPRP Central Committee Organisation Commission,2006,2010,,,Chansy Phosikham,Chansy Phosikham,4
66433482,Organisation Commission of the Lao People's Revolutionary Party,Head of the LPRP Central Committee Organisation Commission,2006,2010,,,Chansy Phosikham,Chansy Phosikham,5
66433482,,,2002,2006,Q57826,Thongsing Thammavong,,,6
