who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
5489678,General Secretary of the Lao People's Revolutionary Party,General Secretary of the Lao People's Revolutionary Party,2021-01-15,,Bounnhang Vorachith,Bounnhang Vorachith,,,0
5489678,Q904139,7th President of Laos,2021-03-22,,Bounnhang Vorachith,Bounnhang Vorachith,,,1
5489678,Q778651,17th Prime Minister of Laos,2016-04-20,2021-03-22,Q57826,Thongsing Thammavong,Q7180477,Phankham Viphavanh,2
5489678,Ministry of Foreign Affairs (Laos),Minister of Foreign Affairs,2006-06-08,2016-04-20,,,,,3
5489678,State Committee for Planning and Investment,President of the State Committee for Planning and Investment,2001-03-27,2006-06-08,Bouathong Vonglokham,Bouathong Vonglokham,Soulivong Daravong,Soulivong Daravong,4
