who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
20613905,Central Committee of the Lao People's Revolutionary Party,Head of the LPRP Central Committee Propaganda and Training Board,2014,2019,Cheuang Sombounkhanh,Cheuang Sombounkhanh,Khamphanh Phommathat,Khamphanh Phommathat,0
20613905,Propaganda and Training Board,Head of the LPRP Central Committee Propaganda and Training Board,2014,2019,Cheuang Sombounkhanh,Cheuang Sombounkhanh,Khamphanh Phommathat,Khamphanh Phommathat,1
20613905,,,,,,,,,2
