pageid,title,wikidata,label
5489678,Thongloun Sisoulith,Q58323,Thongloun Sisoulith
20613905,Kikeo Khaykhamphithoune,Q6406233,Kikeo Khaykhamphithoun
43069127,Pany Yathotou,Q16139501,Pany Yathotou
51045492,Saleumxay Kommasith,Q25999464,Saleumxay Kommasith
65309520,Khampheng Saysompheng,Q100146374,KhamPheng Saysompheng
66433482,Bounthong Chitmany,Q104904363,Bounthong Chitmany
66436611,Saysomphone Phomvihane,Q104918214,Saysomphone Phomvihane
66441378,Sonexay Siphandone,Q104914585,Sonexay Siphandone
67385815,Khemmani Pholsena,Q106485453,Khemmani Pholsena
